,date,CO,NO_2,NOx,O_3,PM10,PM25,SO_2,city,year,population,month,quarter
150,2008-03-16,0.30130208380675566,31.525657036276055,41.78075322523737,61.51544996271311,13.711346150017702,7.135885407837729,8.299150643822474,madrid,2008,6327594,2008-03,2008Q1
151,2008-03-17,0.3903298612179545,52.267980690567924,83.15988764587121,38.35962708198418,27.55902092759146,12.247135421882072,10.757820521409695,madrid,2008,6327594,2008-03,2008Q1
152,2008-03-17,,81,110,20,60,,19,hong kong,2008,6964000,2008-03,2008Q1
153,2008-03-18,0.33221033854333687,37.369687017538205,54.84429991441661,54.49331600467364,12.080690783301467,6.61822915294518,8.343070610990665,madrid,2008,6327594,2008-03,2008Q1
154,2008-03-18,,75,185,20,68,,30,hong kong,2008,6964000,2008-03,2008Q1
155,2008-03-19,0.3727536231711291,50.49841669956843,77.2309999336799,39.77358659164644,16.74503332277139,8.619843743120631,10.213233325084051,madrid,2008,6327594,2008-03,2008Q1
156,2008-03-19,,102,241,31,93,,64,hong kong,2008,6964000,2008-03,2008Q1
157,2008-03-20,0.2626449283738823,20.777086157223273,29.393931029582845,67.23880297365324,13.498227435609568,6.9297916783640785,9.328733335733414,madrid,2008,6327594,2008-03,2008Q1
158,2008-03-20,,46,50,79,77,,11,hong kong,2008,6964000,2008-03,2008Q1
159,2008-03-21,,53,59,62,123,,15,hong kong,2008,6964000,2008-03,2008Q1
160,2008-03-21,0.2985869566977456,30.0510590095073,40.86689235476984,56.77051054591864,11.595033309658369,6.860052074305713,9.740299991965294,madrid,2008,6327594,2008-03,2008Q1
161,2008-03-22,,73,129,25,85,,28,hong kong,2008,6964000,2008-03,2008Q1
162,2008-03-22,0.25273049695430494,20.8294047277142,29.884353782854923,65.64450009115811,11.216754091372255,5.73463543287168,7.959313714523721,madrid,2008,6327594,2008-03,2008Q1
163,2008-03-23,,65,99,15,36,,29,hong kong,2008,6964000,2008-03,2008Q1
164,2008-03-23,0.2976909728086967,27.658000020186105,38.548183283408484,58.56789462149447,10.64423077343366,7.3274999835217995,8.182996790420312,madrid,2008,6327594,2008-03,2008Q1
165,2008-03-24,0.33036458380390993,34.72646586330007,53.137850080328576,53.43876487228471,13.243285244760605,8.884166643023491,9.422644241354787,madrid,2008,6327594,2008-03,2008Q1
166,2008-03-24,,52,62,76,62,,19,hong kong,2008,6964000,2008-03,2008Q1
167,2008-03-25,,83,102,58,104,,27,hong kong,2008,6964000,2008-03,2008Q1
168,2008-03-25,0.4465624996745545,56.67016013272298,103.39116989267178,38.49769101523381,20.609198736265682,12.029010414766768,11.645464759988663,madrid,2008,6327594,2008-03,2008Q1
169,2008-03-26,,84,114,42,57,,19,hong kong,2008,6964000,2008-03,2008Q1
170,2008-03-26,0.3215624995096328,33.51214753358792,50.07440705559193,57.209220317258676,16.42878207583458,7.461197902448475,9.267996777135592,madrid,2008,6327594,2008-03,2008Q1
171,2008-03-27,,85,119,47,74,,25,hong kong,2008,6964000,2008-03,2008Q1
172,2008-03-27,0.33402777841547504,36.73910252109934,56.37334930629302,51.68772885435719,20.738876401899713,10.96151038321356,9.094310896614424,madrid,2008,6327594,2008-03,2008Q1
173,2008-03-28,0.40692708356719876,52.50612177871741,85.82157059739798,43.936694871773156,26.12629806747039,14.269218704352776,10.377900619728443,madrid,2008,6327594,2008-03,2008Q1
174,2008-03-28,,40,52,49,38,,7,hong kong,2008,6964000,2008-03,2008Q1
175,2008-03-29,,46,109,27,41,,,hong kong,2008,6964000,2008-03,2008Q1
176,2008-03-29,0.4073263901259957,55.55924679453556,84.40709942732101,38.674321993326735,27.267644219673596,14.265916217684122,10.852467947090284,madrid,2008,6327594,2008-03,2008Q1
177,2008-03-30,,65,282,4,69,,,hong kong,2008,6964000,2008-03,2008Q1
178,2008-03-30,0.31518116043003247,33.098010039449136,47.81237454438289,50.137243878293795,21.188010048706793,10.683749971830327,8.403996653082379,madrid,2008,6327594,2008-03,2008Q1
179,2008-03-31,,49,78,39,30,,,hong kong,2008,6964000,2008-03,2008Q1
180,2008-03-31,0.37404181069665254,39.92404186245708,62.45937204821674,55.49636512567566,14.114535262187323,8.505602077039748,8.745748787686445,madrid,2008,6327594,2008-03,2008Q1
181,2008-04-01,0.4420105815722198,60.32091054645011,108.71227625559985,35.319642901826064,28.91469921329157,14.468032777635127,11.040780496791127,madrid,2008,6327594,2008-04,2008Q2
182,2008-04-01,,46,51,46,32,,6,hong kong,2008,6964000,2008-04,2008Q2
183,2008-04-02,,61,123,24,50,,21,hong kong,2008,6964000,2008-04,2008Q2
184,2008-04-02,0.3844791665065309,50.009599342273596,86.11557672363826,34.424816740353904,17.652195519457262,8.883403116183755,9.028846157475924,madrid,2008,6327594,2008-04,2008Q2
185,2008-04-03,0.356267360446509,51.96866983996752,81.90491982568533,45.47748324632644,18.039102513056534,7.489528793627055,8.069070511521437,madrid,2008,6327594,2008-04,2008Q2
186,2008-04-03,,54,79,20,31,,10,hong kong,2008,6964000,2008-04,2008Q2
187,2008-04-04,,53,61,62,57,,8,hong kong,2008,6964000,2008-04,2008Q2
188,2008-04-04,0.3630555552469256,59.24440695077945,86.58703525096942,47.77589626727591,22.645897393807388,10.634136164999758,7.719149269319078,madrid,2008,6327594,2008-04,2008Q2
189,2008-04-05,0.34921874929892105,55.377468046469566,72.2118268226966,52.77931665976842,32.848263656978055,16.366684477596998,7.665945519621555,madrid,2008,6327594,2008-04,2008Q2
190,2008-04-05,,55,78,36,45,,9,hong kong,2008,6964000,2008-04,2008Q2
191,2008-04-06,0.4432986099402317,69.47352586342738,97.05267634070836,42.59286659995715,29.951237897397622,15.226510418889424,8.745576930733828,madrid,2008,6327594,2008-04,2008Q2
192,2008-04-06,,64,164,12,49,,40,hong kong,2008,6964000,2008-04,2008Q2
193,2008-04-07,0.3395312501363353,51.19440708863429,71.28786841111305,44.47711664358775,48.32240780054279,22.108062785333363,7.7858012807674895,madrid,2008,6327594,2008-04,2008Q2
194,2008-04-07,,43,105,12,38,,26,hong kong,2008,6964000,2008-04,2008Q2
195,2008-04-08,0.33486111103169,47.52665069202582,67.02214745221994,52.29934991518656,16.489471145547352,9.315526305060638,7.1795993481691065,madrid,2008,6327594,2008-04,2008Q2
196,2008-04-08,,29,60,12,25,,61,hong kong,2008,6964000,2008-04,2008Q2
197,2008-04-09,,31,68,12,28,,58,hong kong,2008,6964000,2008-04,2008Q2
198,2008-04-09,0.32380208331030896,44.32794871009313,64.69955134086119,40.03974874295182,16.06325319562203,9.760052313355251,7.365000006480095,madrid,2008,6327594,2008-04,2008Q2
199,2008-04-10,,33,113,14,32,,27,hong kong,2008,6964000,2008-04,2008Q2
200,2008-04-10,0.35465277737886125,48.9496784286867,70.3711576262471,44.50678328514099,17.14953524294572,9.750473700071636,7.583493602963594,madrid,2008,6327594,2008-04,2008Q2
201,2008-04-11,,49,59,39,53,,8,hong kong,2008,6964000,2008-04,2008Q2
202,2008-04-11,0.4000173603805403,48.09748384356499,71.37945514306044,50.723916613260904,15.602788479855427,10.066770846334597,8.359519225091507,madrid,2008,6327594,2008-04,2008Q2
203,2008-04-12,,55,68,33,72,,8,hong kong,2008,6964000,2008-04,2008Q2
204,2008-04-12,0.36569444448428434,50.521201949089004,73.25759610380882,44.863499957720435,16.33612179565124,10.712031216050187,8.29903846520644,madrid,2008,6327594,2008-04,2008Q2
205,2008-04-13,0.2848263890999887,36.41572106266633,49.0153204645866,51.71423331181208,15.979038464717377,9.897864581396183,7.422772440390709,madrid,2008,6327594,2008-04,2008Q2
206,2008-04-13,,49,60,24,34,,8,hong kong,2008,6964000,2008-04,2008Q2
207,2008-04-14,0.38565217378346817,52.143258453754896,77.39154082507996,49.53146913493416,17.20569822015196,8.537135410743454,8.412102729512638,madrid,2008,6327594,2008-04,2008Q2
208,2008-04-14,,47,55,46,37,,9,hong kong,2008,6964000,2008-04,2008Q2
