,date,NOx,NO_2,NOx,SO_2
326,19.09.2010,1,16,18,1
327,20.09.2010,3,26,31,2
328,21.09.2010,8,28,41,2
329,22.09.2010,16,19,44,1
330,23.09.2010,6,21,29,2
331,24.09.2010,2,21,25,1
332,25.09.2010,3,21,25,1
333,26.09.2010,2,19,22,0
334,27.09.2010,5,21,29,0
335,28.09.2010,2,12,16,0
336,29.09.2010,2,18,21,0
337,30.09.2010,31,24,71,1
338,01.10.2010,17,14,40,2
339,02.10.2010,1,10,12,3
340,03.10.2010,1,9,11,4
341,04.10.2010,1,10,12,5
342,05.10.2010,1,14,15,4
343,06.10.2010,1,15,18,3
344,07.10.2010,1,17,19,3
345,08.10.2010,2,15,18,4
346,09.10.2010,1,16,17,6
347,10.10.2010,2,19,22,3
348,11.10.2010,13,22,42,1
349,12.10.2010,58,38,127,3
350,13.10.2010,30,24,70,2
351,14.10.2010,23,31,66,3
352,15.10.2010,16,32,57,2
353,16.10.2010,2,14,18,0
354,17.10.2010,1,10,12,2
355,18.10.2010,21,30,63,2
356,19.10.2010,6,30,40,6
357,20.10.2010,4,25,31,2
358,21.10.2010,3,25,29,3
359,22.10.2010,4,29,35,4
360,23.10.2010,3,23,27,6
361,24.10.2010,1,11,12,3
362,25.10.2010,11,34,51,4
363,26.10.2010,20,33,63,2
364,27.10.2010,23,30,65,5
365,28.10.2010,9,37,51,7
366,29.10.2010,8,30,42,5
367,30.10.2010,3,24,28,3
368,31.10.2010,7,26,37,3
369,01.11.2010,28,35,78,3
370,02.11.2010,11,30,48,5
371,03.11.2010,3,24,28,4
372,04.11.2010,2,19,22,0
373,05.11.2010,1,21,23,0
374,06.11.2010,1,22,24,1
375,07.11.2010,2,22,25,0
376,08.11.2010,1,14,16,1
377,09.11.2010,8,27,39,2
378,10.11.2010,26,25,65,2
379,11.11.2010,4,24,29,1
380,12.11.2010,2,17,19,1
381,13.11.2010,2,22,25,2
382,14.11.2010,1,13,14,3
383,15.11.2010,3,29,33,2
384,16.11.2010,1,13,15,0
385,17.11.2010,1,11,13,0
386,18.11.2010,6,18,27,2
387,19.11.2010,23,30,65,5
388,20.11.2010,17,28,54,1
389,21.11.2010,6,16,25,3
390,22.11.2010,3,17,22,2
391,23.11.2010,3,18,24,2
392,24.11.2010,3,27,32,2
393,25.11.2010,24,45,81,5
394,26.11.2010,8,40,51,3
395,27.11.2010,7,36,47,4
396,28.11.2010,2,19,22,4
397,29.11.2010,1,13,14,4
398,30.11.2010,2,16,19,1
399,01.12.2010,2,11,13,6
400,02.12.2010,7,29,39,5
401,03.12.2010,25,54,91,9
402,04.12.2010,14,48,69,7
403,05.12.2010,2,24,27,5
404,06.12.2010,25,50,88,8
405,07.12.2010,13,29,49,5
406,08.12.2010,2,22,26,7
407,09.12.2010,4,31,37,3
408,10.12.2010,6,43,52,3
409,11.12.2010,2,25,28,5
410,12.12.2010,1,13,14,1
411,13.12.2010,4,31,37,1
412,14.12.2010,3,20,24,1
413,15.12.2010,2,12,14,
414,16.12.2010,3,28,33,
415,17.12.2010,6,35,44,8
416,18.12.2010,16,41,65,7
417,19.12.2010,18,45,73,7
418,20.12.2010,8,37,49,9
419,21.12.2010,39,50,109,5
420,22.12.2010,7,42,53,12
421,23.12.2010,7,34,44,7
422,24.12.2010,3,16,20,1
423,25.12.2010,2,11,14,0
424,26.12.2010,6,32,41,2
425,27.12.2010,9,41,54,4
426,28.12.2010,3,19,23,4
427,29.12.2010,17,40,65,22
428,30.12.2010,16,50,75,16
429,31.12.2010,4,38,44,4
430,01.01.2011,2,23,26,6
431,02.01.2011,2,27,31,3
432,03.01.2011,6,42,51,2
433,04.01.2011,9,47,60,6
434,05.01.2011,9,38,51,6
435,06.01.2011,2,28,31,5
436,07.01.2011,5,31,39,4
437,08.01.2011,5,29,37,3
438,09.01.2011,2,29,32,1
439,10.01.2011,23,49,85,2
440,11.01.2011,6,29,38,2
441,12.01.2011,3,28,32,5
442,13.01.2011,20,36,66,3
443,14.01.2011,7,33,44,2
444,15.01.2011,2,20,22,3
445,16.01.2011,1,20,22,7
446,17.01.2011,42,39,102,2
447,18.01.2011,10,42,57,1
448,19.01.2011,3,30,35,1
449,20.01.2011,2,22,25,1
450,21.01.2011,4,28,33,1
451,22.01.2011,4,30,35,3
452,23.01.2011,1,16,18,1
453,24.01.2011,5,26,33,2
454,25.01.2011,2,29,33,2
455,26.01.2011,3,23,28,1
456,27.01.2011,1,19,21,1
457,28.01.2011,4,29,35,2
458,29.01.2011,22,37,71,4
459,30.01.2011,38,39,97,3
460,31.01.2011,8,37,50,4
461,01.02.2011,8,34,46,4
462,02.02.2011,21,49,81,7
463,03.02.2011,6,38,48,3
464,04.02.2011,2,21,25,4
465,05.02.2011,1,9,10,1
466,06.02.2011,1,10,10,1
467,07.02.2011,2,22,25,2
