,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2010-08-25,22,46,45,115,Karl-Marx-Straße
2010-08-26,25,71,62,169,Karl-Marx-Straße
2010-08-27,17,43,41,105,Karl-Marx-Straße
2010-08-28,15,38,41,99,Karl-Marx-Straße
2010-08-29,10,30,33,78,Karl-Marx-Straße
2010-08-30,10,43,48,112,Karl-Marx-Straße
2010-08-31,8,16,32,56,Karl-Marx-Straße
2010-09-01,18,51,52,129,Karl-Marx-Straße
2010-09-02,19,59,60,150,Karl-Marx-Straße
2010-09-03,18,83,73,199,Karl-Marx-Straße
2010-09-04,27,66,61,162,Karl-Marx-Straße
2010-09-05,11,6,22,32,Karl-Marx-Straße
2010-09-06,13,21,42,74,Karl-Marx-Straße
2010-09-07,15,16,30,55,Karl-Marx-Straße
2010-09-08,18,12,27,46,Karl-Marx-Straße
2010-09-09,28,56,49,135,Karl-Marx-Straße
2010-09-10,29,74,72,185,Karl-Marx-Straße
2010-09-11,32,63,71,168,Karl-Marx-Straße
2010-09-12,31,35,56,109,Karl-Marx-Straße
2010-09-13,25,73,67,177,Karl-Marx-Straße
2010-09-14,18,65,55,155,Karl-Marx-Straße
2010-09-15,19,51,57,135,Karl-Marx-Straße
2010-09-16,16,54,58,140,Karl-Marx-Straße
2010-09-17,20,58,54,143,Karl-Marx-Straße
2010-09-18,18,53,54,135,Karl-Marx-Straße
2010-09-19,18,35,44,97,Karl-Marx-Straße
2010-09-20,28,56,59,146,Karl-Marx-Straße
2010-09-21,26,62,63,158,Karl-Marx-Straße
2010-09-22,28,59,64,155,Karl-Marx-Straße
2010-09-23,43,72,83,193,Karl-Marx-Straße
2010-09-24,49,66,84,185,Karl-Marx-Straße
2010-09-25,29,44,50,117,Karl-Marx-Straße
2010-09-26,9,36,37,91,Karl-Marx-Straße
2010-09-27,25,27,40,81,Karl-Marx-Straße
2010-09-28,11,19,32,60,Karl-Marx-Straße
2010-09-29,12,16,33,58,Karl-Marx-Straße
2010-09-30,23,77,63,181,Karl-Marx-Straße
2010-10-01,27,36,36,91,Karl-Marx-Straße
2010-10-02,33,35,41,95,Karl-Marx-Straße
2010-10-03,35,23,36,72,Karl-Marx-Straße
2010-10-04,35,35,50,104,Karl-Marx-Straße
