,date,NOx,NO_2,NOx
552,03.05.2011,37,52,109
553,04.05.2011,31,56,104
554,05.05.2011,49,79,153
555,06.05.2011,76,119,235
556,07.05.2011,43,78,144
557,08.05.2011,32,48,97
558,09.05.2011,58,95,184
559,10.05.2011,70,121,228
560,11.05.2011,51,105,183
561,12.05.2011,41,83,145
562,13.05.2011,26,53,92
563,14.05.2011,44,73,141
564,15.05.2011,13,31,50
565,16.05.2011,30,46,91
566,17.05.2011,33,47,98
567,18.05.2011,77,101,218
568,19.05.2011,59,99,189
569,20.05.2011,53,89,170
570,21.05.2011,36,63,118
571,22.05.2011,20,41,72
572,23.05.2011,45,70,139
573,24.05.2011,26,51,91
574,25.05.2011,30,56,102
575,26.05.2011,53,92,173
576,27.05.2011,31,52,99
577,28.05.2011,32,56,105
578,29.05.2011,24,49,86
579,30.05.2011,62,106,200
580,31.05.2011,37,80,136
581,01.06.2011,19,36,65
582,02.06.2011,22,43,77
583,03.06.2011,45,68,137
584,04.06.2011,36,64,120
585,05.06.2011,38,71,129
586,06.06.2011,47,97,169
587,07.06.2011,43,77,144
588,08.06.2011,47,75,146
589,09.06.2011,14,35,56
590,10.06.2011,25,56,93
591,11.06.2011,29,64,109
592,12.06.2011,24,47,84
593,13.06.2011,28,55,98
594,14.06.2011,32,53,102
595,15.06.2011,35,75,128
596,16.06.2011,49,91,166
597,17.06.2011,26,47,88
598,18.06.2011,27,46,87
599,19.06.2011,17,27,53
600,20.06.2011,24,45,82
601,21.06.2011,46,62,132
602,22.06.2011,54,75,157
603,23.06.2011,31,53,101
604,24.06.2011,24,44,81
605,25.06.2011,20,36,66
606,26.06.2011,30,44,90
607,27.06.2011,48,67,141
608,28.06.2011,52,79,158
609,29.06.2011,55,93,178
610,30.06.2011,14,38,59
611,01.07.2011,16,36,61
612,02.07.2011,13,24,43
613,03.07.2011,10,21,35
614,04.07.2011,19,31,60
615,05.07.2011,44,70,137
616,06.07.2011,61,98,192
617,07.07.2011,44,86,153
618,08.07.2011,47,85,157
619,09.07.2011,42,82,145
620,10.07.2011,24,42,79
621,11.07.2011,33,59,109
622,12.07.2011,73,105,217
623,13.07.2011,59,96,187
624,14.07.2011,35,53,107
625,15.07.2011,33,47,98
626,16.07.2011,45,75,144
627,17.07.2011,25,45,84
628,18.07.2011,55,64,149
629,19.07.2011,61,80,173
630,20.07.2011,22,42,76
631,21.07.2011,11,29,46
632,22.07.2011,12,24,42
633,23.07.2011,21,30,62
634,24.07.2011,28,39,82
635,25.07.2011,48,58,132
636,26.07.2011,76,101,218
637,27.07.2011,53,72,152
638,28.07.2011,36,65,121
639,29.07.2011,18,40,68
640,30.07.2011,10,28,43
641,31.07.2011,18,31,58
642,01.08.2011,30,44,89
643,02.08.2011,69,88,193
644,03.08.2011,65,88,188
645,04.08.2011,66,94,194
646,05.08.2011,63,86,183
647,06.08.2011,53,76,156
648,07.08.2011,28,42,84
649,08.08.2011,42,55,120
650,09.08.2011,22,32,65
651,10.08.2011,23,36,71
652,11.08.2011,39,59,119
653,12.08.2011,51,74,152
654,13.08.2011,37,54,110
655,14.08.2011,51,66,144
656,15.08.2011,38,59,117
657,16.08.2011,38,65,123
658,17.08.2011,74,107,220
659,18.08.2011,64,102,199
660,19.08.2011,29,54,98
661,20.08.2011,27,50,92
662,21.08.2011,49,84,159
663,22.08.2011,25,52,90
664,23.08.2011,55,81,165
665,24.08.2011,63,94,191
666,25.08.2011,50,86,162
667,26.08.2011,56,96,182
668,27.08.2011,24,39,76
669,28.08.2011,36,45,100
670,29.08.2011,33,50,101
671,30.08.2011,28,45,88
672,31.08.2011,46,62,133
673,01.09.2011,31,56,104
674,02.09.2011,68,99,203
675,03.09.2011,58,103,192
676,04.09.2011,49,88,162
677,05.09.2011,42,67,130
678,06.09.2011,54,71,153
679,07.09.2011,27,43,85
680,08.09.2011,30,43,90
681,09.09.2011,49,63,138
682,10.09.2011,79,72,193
683,11.09.2011,30,48,94
684,12.09.2011,41,57,120
685,13.09.2011,26,45,86
686,14.09.2011,29,44,87
687,15.09.2011,25,42,80
688,16.09.2011,52,68,147
689,17.09.2011,64,86,184
690,18.09.2011,42,55,119
691,19.09.2011,82,76,201
692,20.09.2011,79,86,207
693,21.09.2011,87,95,228
694,22.09.2011,37,59,116
695,23.09.2011,56,76,162
696,24.09.2011,86,89,219
697,25.09.2011,67,88,191
