,date,PM10,NOx,NO_2,NOx,O_3
529,10.04.2011,8,0,7,7,76
530,11.04.2011,14,4,21,27,58
531,12.04.2011,21,1,10,12,71
532,13.04.2011,7,0,6,6,71
533,14.04.2011,6,0,4,5,57
534,15.04.2011,9,1,7,8,56
535,16.04.2011,15,2,13,16,60
536,17.04.2011,27,1,16,17,67
537,18.04.2011,25,6,16,26,60
538,19.04.2011,25,1,14,17,68
539,20.04.2011,26,1,16,19,79
540,21.04.2011,27,2,16,19,77
541,22.04.2011,32,1,10,11,107
542,23.04.2011,33,1,8,9,113
543,24.04.2011,27,0,5,6,101
544,25.04.2011,28,0,6,6,86
545,26.04.2011,28,1,12,13,69
546,27.04.2011,25,3,15,19,63
547,28.04.2011,35,1,9,11,88
548,29.04.2011,28,1,7,8,91
549,30.04.2011,14,0,4,5,86
550,01.05.2011,12,1,4,5,88
551,02.05.2011,15,1,6,7,74
552,03.05.2011,10,0,6,6,72
553,04.05.2011,10,1,11,12,65
554,05.05.2011,13,2,13,16,63
555,06.05.2011,20,2,22,26,71
556,07.05.2011,24,1,11,13,87
557,08.05.2011,16,0,5,6,77
558,09.05.2011,22,1,12,14,91
559,10.05.2011,26,1,14,15,100
560,11.05.2011,28,1,14,16,100
561,12.05.2011,24,1,12,13,85
562,13.05.2011,14,1,7,7,73
563,14.05.2011,20,3,12,17,65
564,15.05.2011,11,1,4,5,60
565,16.05.2011,9,1,13,14,48
566,17.05.2011,15,1,13,15,44
567,18.05.2011,15,2,16,20,59
568,19.05.2011,18,3,15,20,67
569,20.05.2011,16,1,10,11,71
570,21.05.2011,21,1,7,8,76
571,22.05.2011,17,1,7,8,93
572,23.05.2011,20,1,10,11,73
573,24.05.2011,22,2,15,18,68
574,25.05.2011,26,1,10,11,67
575,26.05.2011,27,1,12,14,94
576,27.05.2011,21,1,11,12,68
577,28.05.2011,12,1,8,9,79
578,29.05.2011,15,0,9,10,75
579,30.05.2011,18,2,16,19,90
580,31.05.2011,20,1,10,11,113
581,01.06.2011,10,0,3,4,71
582,02.06.2011,8,0,3,3,79
583,03.06.2011,12,1,4,5,65
584,04.06.2011,15,0,6,6,79
585,05.06.2011,25,1,7,8,97
586,06.06.2011,27,1,11,13,96
587,07.06.2011,19,2,13,15,72
588,08.06.2011,24,1,12,14,60
589,09.06.2011,,1,9,10,
590,10.06.2011,15,0,8,8,80
591,11.06.2011,19,1,11,12,71
592,12.06.2011,11,0,5,6,70
593,13.06.2011,12,0,8,8,86
594,14.06.2011,12,1,11,13,62
595,15.06.2011,15,1,8,9,80
596,16.06.2011,20,1,15,17,78
597,17.06.2011,13,1,7,8,72
598,18.06.2011,10,0,8,8,63
599,19.06.2011,8,0,6,6,56
600,20.06.2011,8,1,8,9,60
601,21.06.2011,12,3,18,23,40
602,22.06.2011,13,2,14,18,51
603,23.06.2011,12,1,9,11,57
604,24.06.2011,9,1,7,8,62
605,25.06.2011,9,0,5,5,71
606,26.06.2011,9,1,5,6,50
607,27.06.2011,12,2,5,8,63
608,28.06.2011,11,1,5,6,73
609,29.06.2011,13,1,8,9,80
610,30.06.2011,12,0,8,8,49
611,01.07.2011,11,1,6,7,60
612,02.07.2011,8,0,4,5,53
613,03.07.2011,6,0,4,4,37
614,04.07.2011,8,1,6,8,26
615,05.07.2011,14,0,5,5,53
616,06.07.2011,14,1,7,9,74
617,07.07.2011,16,1,10,11,81
618,08.07.2011,19,1,12,13,71
619,09.07.2011,15,1,11,13,57
620,10.07.2011,12,0,4,4,70
621,11.07.2011,11,0,4,4,60
622,12.07.2011,16,2,7,11,70
623,13.07.2011,20,1,8,9,85
624,14.07.2011,11,1,8,9,57
625,15.07.2011,9,1,10,11,51
626,16.07.2011,14,1,10,12,71
627,17.07.2011,12,0,7,7,80
628,18.07.2011,8,2,9,12,48
629,19.07.2011,9,1,12,14,51
630,20.07.2011,15,0,5,5,74
631,21.07.2011,12,0,5,5,63
632,22.07.2011,8,0,5,5,54
633,23.07.2011,11,0,5,5,57
634,24.07.2011,8,1,7,8,58
635,25.07.2011,7,2,13,16,34
636,26.07.2011,10,3,10,15,45
637,27.07.2011,12,1,5,6,53
638,28.07.2011,12,2,11,14,38
639,29.07.2011,9,1,7,8,54
640,30.07.2011,9,0,4,5,52
641,31.07.2011,5,1,4,5,39
642,01.08.2011,13,0,5,6,37
643,02.08.2011,12,1,5,6,42
644,03.08.2011,22,1,7,9,58
645,04.08.2011,23,1,15,17,51
646,05.08.2011,16,2,15,18,35
647,06.08.2011,17,2,8,11,61
648,07.08.2011,12,0,7,8,48
649,08.08.2011,9,2,12,16,39
650,09.08.2011,8,1,7,8,49
651,10.08.2011,12,1,5,7,53
652,11.08.2011,13,1,15,17,51
653,12.08.2011,11,1,17,19,45
654,13.08.2011,12,1,9,12,39
655,14.08.2011,22,1,8,10,39
656,15.08.2011,11,1,9,10,44
657,16.08.2011,13,1,9,10,40
658,17.08.2011,17,4,20,25,40
659,18.08.2011,22,1,11,13,68
660,19.08.2011,14,1,12,13,64
661,20.08.2011,14,0,6,7,58
662,21.08.2011,23,1,13,14,60
663,22.08.2011,16,1,10,11,55
664,23.08.2011,15,0,9,10,42
665,24.08.2011,24,2,15,18,61
666,25.08.2011,18,1,13,14,63
667,26.08.2011,30,0,8,8,95
668,27.08.2011,17,0,7,8,56
669,28.08.2011,8,1,8,9,48
670,29.08.2011,10,1,14,17,43
671,30.08.2011,11,1,8,9,49
672,31.08.2011,11,3,15,20,33
673,01.09.2011,,2,14,17,
674,02.09.2011,,1,13,15,
675,03.09.2011,25,1,12,13,74
676,04.09.2011,25,1,11,12,82
677,05.09.2011,17,1,15,16,40
678,06.09.2011,12,1,15,17,48
679,07.09.2011,12,0,10,10,47
680,08.09.2011,8,1,10,11,38
681,09.09.2011,9,1,11,12,35
682,10.09.2011,13,5,16,22,19
683,11.09.2011,15,1,6,7,53
684,12.09.2011,10,1,9,11,55
685,13.09.2011,17,1,8,9,57
686,14.09.2011,17,1,11,12,48
687,15.09.2011,14,1,10,11,44
688,16.09.2011,13,2,11,13,35
689,17.09.2011,24,1,15,17,45
690,18.09.2011,14,0,10,10,39
691,19.09.2011,10,9,20,33,18
692,20.09.2011,16,7,18,29,26
693,21.09.2011,19,10,22,37,26
694,22.09.2011,17,1,18,20,37
695,23.09.2011,20,1,14,16,37
696,24.09.2011,34,11,17,35,28
697,25.09.2011,28,1,11,12,42
698,26.09.2011,28,12,29,47,26
699,27.09.2011,20,3,13,17,21
700,28.09.2011,14,11,21,37,16
701,29.09.2011,19,23,17,51,22
702,30.09.2011,28,26,29,69,17
703,01.10.2011,37,16,15,40,31
704,02.10.2011,37,5,15,22,35
705,03.10.2011,37,5,18,25,55
706,04.10.2011,29,1,22,24,60
707,05.10.2011,16,1,16,17,38
708,06.10.2011,13,2,12,15,42
709,07.10.2011,11,2,15,18,32
710,08.10.2011,9,0,5,5,50
711,09.10.2011,7,0,10,10,37
712,10.10.2011,6,3,17,22,24
713,11.10.2011,4,0,10,10,55
714,12.10.2011,12,1,10,11,44
715,13.10.2011,11,2,10,13,29
716,14.10.2011,8,4,9,14,21
717,15.10.2011,20,9,13,28,21
718,16.10.2011,16,1,10,12,36
719,17.10.2011,24,16,35,59,16
720,18.10.2011,19,4,22,28,35
721,19.10.2011,12,4,20,26,33
722,20.10.2011,9,1,15,17,33
723,21.10.2011,13,16,22,47,19
724,22.10.2011,23,11,19,36,20
725,23.10.2011,43,1,12,13,35
726,24.10.2011,48,1,9,9,35
727,25.10.2011,41,1,10,11,40
728,26.10.2011,28,11,23,40,12
729,27.10.2011,26,5,17,25,13
730,28.10.2011,34,11,25,42,11
731,29.10.2011,35,24,20,57,9
