,date,PM10,NOx,NO_2,NOx,O_3,Benzolµg/m³,Toluolµg/m³
519,31.03.2011,32,12,40,59,38,0.9,3.0
520,01.04.2011,21,3,23,27,56,0.5,1.3
521,02.04.2011,23,6,25,34,34,0.6,2.3
522,03.04.2011,24,2,19,22,54,0.7,1.7
523,04.04.2011,13,4,26,32,51,0.6,1.8
524,05.04.2011,21,8,29,41,54,0.6,1.9
525,06.04.2011,23,7,31,42,30,0.6,1.8
526,07.04.2011,24,5,23,30,52,0.5,1.5
527,08.04.2011,33,2,14,18,76,0.4,0.9
528,09.04.2011,27,1,10,11,79,0.4,0.9
529,10.04.2011,10,2,19,22,70,0.6,1.3
530,11.04.2011,21,16,50,74,45,0.8,3.6
531,12.04.2011,26,3,24,29,64,0.5,1.5
532,13.04.2011,10,2,19,21,61,0.5,1.3
533,14.04.2011,11,4,28,34,41,0.7,2.4
534,15.04.2011,16,19,42,71,34,1.1,4.4
535,16.04.2011,23,33,46,97,44,1.8,7.1
536,17.04.2011,32,10,38,54,61,1.0,3.4
537,18.04.2011,43,51,62,140,43,2.1,9.8
538,19.04.2011,33,6,40,49,61,1.0,4.4
539,20.04.2011,30,5,40,48,69,0.9,3.3
540,21.04.2011,35,9,49,63,70,1.2,5.0
541,22.04.2011,38,0,21,22,108,0.9,2.5
542,23.04.2011,32,1,12,13,117,0.7,1.4
543,24.04.2011,29,1,9,10,105,0.6,0.9
544,25.04.2011,32,1,12,13,92,0.7,1.2
545,26.04.2011,33,3,33,37,59,1.0,2.9
546,27.04.2011,32,11,38,55,50,1.1,3.9
547,28.04.2011,44,1,26,27,82,0.8,2.3
548,29.04.2011,34,1,16,17,93,0.6,1.4
549,30.04.2011,19,1,9,10,86,0.4,0.8
550,01.05.2011,12,1,4,6,89,0.4,0.5
551,02.05.2011,13,2,14,17,68,0.5,1.3
552,03.05.2011,10,1,12,13,72,0.5,1.2
553,04.05.2011,14,6,29,38,56,0.6,1.9
554,05.05.2011,17,12,40,57,54,0.8,3.2
555,06.05.2011,23,5,42,49,69,0.7,3.0
556,07.05.2011,24,1,27,29,90,0.6,2.3
557,08.05.2011,17,1,11,13,80,0.6,1.2
558,09.05.2011,27,4,31,37,79,0.7,2.1
559,10.05.2011,29,4,46,51,79,0.9,4.0
560,11.05.2011,33,5,49,56,79,0.9,4.4
561,12.05.2011,30,5,42,50,68,0.8,4.0
562,13.05.2011,19,4,27,33,61,0.4,1.7
563,14.05.2011,21,5,32,40,63,0.7,3.4
564,15.05.2011,11,1,15,17,63,0.3,1.0
565,16.05.2011,14,5,23,30,44,0.4,1.6
566,17.05.2011,19,7,27,37,31,0.5,1.9
567,18.05.2011,22,16,45,69,45,1.1,5.5
568,19.05.2011,28,16,57,81,53,1.3,6.9
569,20.05.2011,23,5,37,44,54,0.7,3.6
570,21.05.2011,22,0,16,17,81,0.4,1.6
571,22.05.2011,19,1,17,18,92,0.4,1.2
572,23.05.2011,21,4,27,34,66,0.4,1.9
573,24.05.2011,23,4,27,32,66,0.4,1.8
574,25.05.2011,31,5,34,41,57,0.7,2.8
575,26.05.2011,33,3,32,37,82,0.5,2.3
576,27.05.2011,24,5,26,33,61,0.3,1.6
577,28.05.2011,14,2,17,20,74,0.3,1.0
578,29.05.2011,18,2,21,25,69,0.5,2.1
579,30.05.2011,22,5,37,44,80,0.6,3.1
580,31.05.2011,23,2,27,30,101,0.4,2.0
581,01.06.2011,,1,10,12,63,0.2,1.1
582,02.06.2011,,,,,,,
583,03.06.2011,,0,9,9,,,1.0
584,04.06.2011,15,1,15,17,78,0.3,1.5
585,05.06.2011,25,1,17,18,97,0.5,1.8
586,06.06.2011,28,3,30,34,86,0.6,2.5
587,07.06.2011,23,4,27,33,70,0.5,2.6
588,08.06.2011,24,3,34,39,49,0.7,3.2
589,09.06.2011,16,2,18,21,75,0.3,1.0
590,10.06.2011,16,2,24,26,75,0.3,1.4
591,11.06.2011,19,1,21,22,80,0.4,1.8
592,12.06.2011,10,1,12,13,79,0.3,1.0
593,13.06.2011,14,1,16,17,87,0.3,1.2
594,14.06.2011,,6,27,37,53,0.4,1.6
595,15.06.2011,,3,38,44,,,3.0
596,16.06.2011,26,3,35,39,74,0.5,2.7
597,17.06.2011,16,3,17,21,70,0.3,1.4
598,18.06.2011,13,2,14,18,62,0.3,1.3
599,19.06.2011,7,2,10,12,57,0.2,0.8
600,20.06.2011,13,3,22,27,55,0.4,1.3
601,21.06.2011,13,10,31,47,34,0.6,2.5
602,22.06.2011,16,5,29,37,41,0.5,2.7
603,23.06.2011,14,4,24,29,50,0.4,1.6
604,24.06.2011,12,3,24,29,51,0.3,1.3
605,25.06.2011,11,2,14,16,65,0.2,0.8
606,26.06.2011,9,3,16,20,46,0.5,1.8
607,27.06.2011,13,2,18,21,61,0.5,2.6
608,28.06.2011,14,3,18,22,72,0.4,2.1
609,29.06.2011,16,2,22,25,78,0.4,2.3
610,30.06.2011,13,2,17,20,43,0.4,1.5
611,01.07.2011,12,2,13,16,55,0.2,1.0
612,02.07.2011,10,2,14,16,44,0.2,0.7
613,03.07.2011,4,1,9,10,28,0.2,0.9
614,04.07.2011,9,4,16,22,20,0.4,1.8
615,05.07.2011,14,1,17,20,52,0.5,2.5
616,06.07.2011,16,3,26,30,73,0.6,3.2
617,07.07.2011,18,2,26,30,75,0.5,2.6
618,08.07.2011,24,6,37,46,60,0.7,3.6
619,09.07.2011,20,2,31,35,61,0.5,3.4
620,10.07.2011,11,1,8,9,74,0.3,1.2
621,11.07.2011,13,3,21,26,57,0.5,2.7
622,12.07.2011,23,10,29,45,67,1.0,5.7
623,13.07.2011,25,3,25,29,77,0.5,2.2
624,14.07.2011,15,4,22,28,51,0.4,1.6
625,15.07.2011,14,4,18,25,45,0.3,1.3
626,16.07.2011,17,3,20,25,71,0.6,2.4
627,17.07.2011,12,2,12,15,78,0.3,1.1
628,18.07.2011,11,6,19,28,44,0.3,1.5
629,19.07.2011,11,5,23,30,53,0.4,2.0
630,20.07.2011,17,1,12,13,72,0.3,1.2
631,21.07.2011,16,2,15,18,55,0.3,1.0
632,22.07.2011,10,2,15,18,44,0.2,0.8
633,23.07.2011,13,2,13,15,54,0.2,0.9
634,24.07.2011,11,1,12,14,57,0.3,1.2
635,25.07.2011,9,6,25,34,32,0.4,1.9
636,26.07.2011,14,9,32,45,39,0.9,4.5
637,27.07.2011,16,4,23,29,42,0.5,2.8
638,28.07.2011,17,9,33,46,37,0.7,3.5
639,29.07.2011,12,3,19,24,46,0.4,1.5
640,30.07.2011,12,1,12,14,46,0.2,0.8
641,31.07.2011,9,2,12,15,33,0.2,0.8
642,01.08.2011,19,4,17,23,31,0.4,1.6
643,02.08.2011,21,2,22,24,41,1.0,3.0
644,03.08.2011,27,4,26,32,51,0.7,3.2
645,04.08.2011,30,5,38,45,41,0.8,3.1
646,05.08.2011,21,6,36,45,34,0.9,3.9
647,06.08.2011,22,7,24,35,54,1.1,4.8
648,07.08.2011,15,3,14,18,49,0.4,1.5
649,08.08.2011,13,7,22,32,39,0.4,2.2
650,09.08.2011,14,4,18,25,43,0.3,1.0
651,10.08.2011,15,3,16,22,46,0.2,1.0
652,11.08.2011,18,6,27,37,46,0.4,1.7
653,12.08.2011,18,7,31,41,43,0.5,1.8
654,13.08.2011,14,3,24,28,37,0.6,2.5
655,14.08.2011,17,2,25,28,36,0.8,3.1
656,15.08.2011,14,6,30,39,37,0.5,2.3
657,16.08.2011,15,4,27,33,41,0.5,2.3
658,17.08.2011,23,7,44,54,43,0.8,3.7
659,18.08.2011,30,7,36,46,66,0.9,4.3
660,19.08.2011,19,4,27,33,57,0.4,2.0
661,20.08.2011,15,1,19,21,57,0.6,3.2
662,21.08.2011,21,1,26,27,70,0.6,2.5
663,22.08.2011,21,3,23,27,56,0.5,2.3
664,23.08.2011,18,4,26,32,39,0.7,3.5
665,24.08.2011,30,8,37,48,62,0.8,3.6
666,25.08.2011,23,3,29,34,64,0.5,2.7
667,26.08.2011,35,2,25,29,89,0.8,2.9
668,27.08.2011,18,2,15,18,52,0.5,1.6
669,28.08.2011,8,2,13,16,48,0.4,1.5
670,29.08.2011,13,6,25,35,38,0.5,2.0
671,30.08.2011,16,5,24,32,40,0.4,1.4
672,31.08.2011,19,10,33,49,31,0.6,2.2
673,01.09.2011,12,3,26,31,38,0.5,1.9
674,02.09.2011,18,5,35,44,44,0.8,3.6
675,03.09.2011,28,3,31,35,70,0.9,3.3
676,04.09.2011,30,1,24,26,80,0.9,2.7
677,05.09.2011,22,5,32,40,33,0.7,2.5
678,06.09.2011,21,8,29,41,41,0.5,2.2
679,07.09.2011,22,5,23,31,38,0.4,1.5
680,08.09.2011,13,6,22,32,28,0.4,1.6
681,09.09.2011,14,9,29,43,25,0.6,2.3
682,10.09.2011,17,9,30,44,13,1.0,4.1
683,11.09.2011,17,1,19,21,50,0.7,2.6
684,12.09.2011,23,6,25,34,45,0.5,1.7
685,13.09.2011,23,4,23,29,48,0.4,1.9
686,14.09.2011,27,4,23,30,39,0.4,1.5
687,15.09.2011,19,4,22,28,36,0.4,1.6
688,16.09.2011,15,4,27,32,36,0.6,2.4
689,17.09.2011,23,5,35,43,40,1.1,3.9
690,18.09.2011,14,3,21,25,35,0.7,2.1
691,19.09.2011,14,17,32,58,19,0.8,3.2
692,20.09.2011,21,17,39,65,23,0.9,3.6
693,21.09.2011,24,17,43,70,25,1.0,4.2
694,22.09.2011,23,6,35,45,31,0.7,2.7
695,23.09.2011,30,11,41,59,28,0.8,3.2
696,24.09.2011,30,22,43,77,27,1.4,5.9
697,25.09.2011,30,10,39,54,38,1.3,5.6
698,26.09.2011,37,22,72,105,23,1.6,7.2
699,27.09.2011,23,10,42,57,19,1.0,4.7
700,28.09.2011,26,71,55,164,14,2.3,10.7
701,29.09.2011,30,106,63,224,18,3.1,13.7
702,30.09.2011,38,141,78,293,13,4.6,19.3
703,01.10.2011,38,64,61,159,24,3.6,13.8
704,02.10.2011,45,58,56,144,32,3.6,13.3
705,03.10.2011,36,11,36,53,56,1.4,5.5
706,04.10.2011,34,6,38,47,51,0.8,2.8
707,05.10.2011,25,6,28,38,30,0.6,2.0
708,06.10.2011,16,7,23,33,35,0.5,1.7
709,07.10.2011,20,10,26,41,25,0.5,1.8
710,08.10.2011,9,2,11,14,45,0.4,0.9
711,09.10.2011,10,3,16,21,35,0.5,1.2
712,10.10.2011,12,14,26,47,17,0.6,2.2
713,11.10.2011,7,5,29,36,40,0.5,1.7
714,12.10.2011,15,4,22,28,37,0.4,1.6
715,13.10.2011,13,7,24,35,24,0.6,2.1
716,14.10.2011,15,23,36,71,15,1.2,4.8
717,15.10.2011,24,35,40,94,17,1.8,5.8
718,16.10.2011,19,3,24,29,31,1.1,2.3
719,17.10.2011,32,22,44,78,15,1.5,4.3
720,18.10.2011,24,11,30,47,30,0.9,2.7
721,19.10.2011,15,10,28,42,29,0.6,2.2
722,20.10.2011,14,8,32,45,25,0.6,2.0
723,21.10.2011,22,27,43,85,14,1.2,4.1
724,22.10.2011,26,20,40,70,16,1.4,3.9
725,23.10.2011,44,4,27,32,26,2.1,2.7
726,24.10.2011,52,6,23,33,24,2.1,3.5
727,25.10.2011,46,6,24,32,30,1.8,3.6
728,26.10.2011,33,28,33,75,8,2.0,4.6
729,27.10.2011,33,20,32,63,7,2.1,5.2
730,28.10.2011,39,37,41,98,9,1.9,5.8
731,29.10.2011,46,74,46,159,6,2.9,10.8
732,30.10.2011,39,17,32,58,8,1.9,4.7
733,31.10.2011,37,27,42,83,5,1.6,6.2
734,01.11.2011,46,12,40,58,17,1.8,4.4
735,02.11.2011,49,25,40,78,5,2.0,5.2
736,03.11.2011,57,16,40,64,8,2.1,4.2
737,04.11.2011,67,11,41,58,15,2.3,3.8
738,05.11.2011,66,6,33,42,15,2.9,5.7
739,06.11.2011,69,9,36,49,13,3.2,5.8
740,07.11.2011,76,19,39,67,9,3.2,5.7
741,08.11.2011,81,33,45,95,5,3.5,7.8
742,09.11.2011,67,26,36,75,4,3.7,6.5
743,10.11.2011,36,11,28,44,11,2.4,4.5
744,11.11.2011,30,5,24,32,24,1.3,2.7
745,12.11.2011,50,7,35,46,15,2.2,3.3
746,13.11.2011,96,27,48,90,7,4.6,7.1
747,14.11.2011,120,84,55,183,9,5.6,10.0
748,15.11.2011,34,5,23,30,24,2.0,3.4
749,16.11.2011,35,8,33,45,20,1.8,3.4
750,17.11.2011,61,22,40,74,4,3.1,4.4
751,18.11.2011,46,42,46,110,2,2.5,5.0
752,19.11.2011,32,49,42,116,2,2.6,7.1
753,20.11.2011,36,30,41,86,4,2.5,5.9
754,21.11.2011,48,16,41,66,11,2.3,4.5
755,22.11.2011,63,18,36,64,4,3.4,5.1
756,23.11.2011,70,63,44,141,2,4.1,6.7
757,24.11.2011,45,80,44,167,2,3.4,7.7
758,25.11.2011,23,28,47,89,6,1.8,4.4
759,26.11.2011,22,4,25,31,26,0.9,2.2
760,27.11.2011,16,2,8,11,50,0.5,1.2
761,28.11.2011,34,16,41,66,26,0.9,2.9
762,29.11.2011,30,22,47,80,7,1.5,4.1
763,30.11.2011,24,23,46,81,13,1.2,3.7
764,01.12.2011,23,29,44,89,4,1.7,4.7
765,02.12.2011,15,8,30,43,25,0.9,2.7
766,03.12.2011,13,5,22,29,34,0.7,1.9
767,04.12.2011,14,3,19,23,43,0.7,1.5
768,05.12.2011,10,5,23,32,40,0.6,1.8
769,06.12.2011,12,7,26,37,34,0.7,1.7
770,07.12.2011,10,11,30,47,32,0.8,2.2
771,08.12.2011,13,8,26,39,35,0.7,1.9
772,09.12.2011,14,6,22,32,46,0.6,1.4
773,10.12.2011,14,4,21,26,39,0.7,1.6
774,11.12.2011,18,6,28,37,29,1.0,2.3
775,12.12.2011,18,17,38,63,15,1.2,3.1
776,13.12.2011,12,11,33,50,30,0.9,2.5
777,14.12.2011,7,11,36,52,33,0.9,2.4
778,15.12.2011,10,17,40,66,29,1.0,2.7
779,16.12.2011,10,8,32,44,28,0.9,2.2
780,17.12.2011,8,3,11,16,44,0.7,1.3
781,18.12.2011,12,2,17,21,39,0.7,1.3
782,19.12.2011,17,9,31,45,26,0.8,2.0
783,20.12.2011,19,11,37,55,18,1.2,2.9
784,21.12.2011,11,7,29,39,18,1.0,2.6
785,22.12.2011,21,22,38,71,13,1.3,4.1
786,23.12.2011,14,24,37,73,3,1.1,3.2
787,24.12.2011,10,3,15,19,37,0.6,1.4
788,25.12.2011,14,3,15,19,33,0.7,1.5
789,26.12.2011,9,2,12,15,36,0.7,1.3
790,27.12.2011,13,4,20,27,31,0.6,1.5
791,28.12.2011,15,9,29,43,20,0.8,2.3
792,29.12.2011,14,4,16,21,41,0.7,1.4
793,30.12.2011,10,3,18,23,44,0.6,1.5
794,31.12.2011,33,5,25,32,29,1.0,2.0
795,01.01.2012,88,10,26,42,11,1.3,2.4
796,02.01.2012,7,6,26,35,31,0.7,2.1
797,03.01.2012,11,6,22,32,41,0.7,1.7
798,04.01.2012,13,3,19,24,51,0.6,1.3
799,05.01.2012,7,4,14,19,54,0.6,1.3
800,06.01.2012,7,3,17,21,42,0.7,1.4
801,07.01.2012,14,3,17,21,41,0.7,1.4
802,08.01.2012,11,1,15,17,44,0.6,1.2
803,09.01.2012,10,9,27,41,22,0.9,2.2
804,10.01.2012,22,4,18,24,45,0.6,1.7
805,11.01.2012,18,7,30,41,22,0.7,2.1
806,12.01.2012,12,4,19,26,37,0.6,1.6
807,13.01.2012,14,3,14,19,53,0.6,1.3
808,14.01.2012,16,2,12,15,49,0.7,1.2
809,15.01.2012,12,10,26,41,29,1.0,2.4
810,16.01.2012,19,14,35,57,10,1.1,2.6
811,17.01.2012,15,6,25,35,27,0.9,2.0
812,18.01.2012,23,30,54,100,9,1.4,3.4
813,19.01.2012,12,14,33,54,17,1.2,2.8
814,20.01.2012,10,4,23,29,44,0.7,1.4
815,21.01.2012,12,3,20,25,41,0.8,1.6
816,22.01.2012,9,2,18,21,46,0.6,1.2
817,23.01.2012,12,14,36,57,18,1.2,2.9
818,24.01.2012,19,12,38,57,9,1.6,3.4
819,25.01.2012,22,22,41,74,13,1.8,4.2
820,26.01.2012,28,21,39,71,18,2.1,4.1
821,27.01.2012,54,6,35,44,20,2.3,2.9
822,28.01.2012,97,4,32,39,18,3.7,3.8
823,29.01.2012,83,3,26,30,34,3.6,3.2
824,30.01.2012,51,5,30,37,35,2.6,3.3
825,31.01.2012,50,4,28,35,,2.5,3.3
826,01.02.2012,43,4,28,35,,2.3,3.0
827,02.02.2012,43,10,40,55,,2.3,4.7
828,03.02.2012,24,27,54,94,,1.7,3.5
829,04.02.2012,,46,68,138,,,
830,05.02.2012,,,,,,,
831,06.02.2012,,8,33,45,,,3.3
832,07.02.2012,36,4,36,43,,2.1,3.1
833,08.02.2012,38,14,40,61,,2.1,3.3
834,09.02.2012,28,4,26,32,43,1.7,2.5
835,10.02.2012,42,6,35,45,43,2.1,3.3
836,11.02.2012,39,6,43,52,33,2.2,3.5
837,12.02.2012,39,14,46,67,32,1.9,3.5
838,13.02.2012,30,12,35,53,27,1.2,2.4
839,14.02.2012,43,28,50,93,15,2.0,4.3
840,15.02.2012,9,2,12,14,68,0.6,1.1
841,16.02.2012,16,7,28,39,40,0.9,2.2
842,17.02.2012,15,4,23,30,42,0.8,1.7
843,18.02.2012,24,9,29,42,26,1.1,2.9
844,19.02.2012,12,3,18,22,51,0.8,1.5
845,20.02.2012,19,5,26,34,51,0.8,1.7
846,21.02.2012,19,9,37,51,31,0.9,2.3
847,22.02.2012,31,8,35,47,35,1.0,2.6
848,23.02.2012,14,5,23,31,40,0.8,1.9
849,24.02.2012,15,7,25,36,25,0.7,2.0
850,25.02.2012,14,1,9,11,67,0.6,1.0
851,26.02.2012,8,2,14,16,61,0.8,1.3
852,27.02.2012,22,18,45,73,24,1.2,3.0
853,28.02.2012,23,8,26,38,18,0.8,2.5
854,29.02.2012,12,6,22,31,23,0.6,1.9
855,01.03.2012,18,8,25,37,18,0.7,2.0
856,02.03.2012,30,11,27,43,38,1.0,3.0
857,03.03.2012,19,4,30,36,43,1.1,3.1
858,04.03.2012,22,2,16,19,59,1.3,2.1
859,05.03.2012,31,4,25,31,54,1.5,2.5
860,06.03.2012,27,7,26,36,53,1.3,2.2
861,07.03.2012,45,9,43,57,36,1.7,2.9
862,08.03.2012,27,6,34,43,30,1.2,2.5
863,09.03.2012,25,10,32,48,41,0.9,2.1
864,10.03.2012,30,3,19,23,46,0.8,1.6
865,11.03.2012,20,1,10,11,69,0.6,1.0
866,12.03.2012,14,3,17,21,47,0.5,1.3
867,13.03.2012,13,3,17,22,52,0.7,1.7
868,14.03.2012,14,3,23,28,51,0.6,1.7
869,15.03.2012,44,18,44,71,19,1.1,3.4
870,16.03.2012,63,88,74,209,15,2.8,11.2
871,17.03.2012,71,22,48,82,37,1.9,6.3
872,18.03.2012,57,4,25,32,51,1.1,3.0
873,19.03.2012,15,3,18,22,66,0.7,1.3
874,20.03.2012,27,7,34,44,40,0.9,2.0
875,21.03.2012,28,6,31,39,36,0.8,2.2
876,22.03.2012,23,10,39,54,44,0.9,3.1
877,23.03.2012,26,20,40,71,40,1.4,5.2
878,24.03.2012,28,10,29,44,47,1.1,3.4
879,25.03.2012,21,2,13,17,44,0.7,1.4
880,26.03.2012,26,27,49,90,35,1.3,4.8
881,27.03.2012,45,5,27,35,43,0.8,2.3
882,28.03.2012,39,4,23,29,68,0.7,1.8
883,29.03.2012,25,3,15,19,71,0.6,1.2
884,30.03.2012,20,3,14,18,65,0.5,1.1
885,31.03.2012,10,1,8,10,74,0.5,0.9
886,01.04.2012,14,2,13,17,60,0.6,1.0
887,02.04.2012,16,3,17,21,69,0.7,1.3
888,03.04.2012,27,4,27,34,46,1.0,2.7
889,04.04.2012,32,2,19,22,36,1.5,2.4
890,05.04.2012,22,6,27,35,57,1.2,2.7
891,06.04.2012,27,8,28,40,52,1.2,3.0
892,07.04.2012,15,2,10,13,65,0.7,1.3
893,08.04.2012,9,2,14,17,64,0.8,1.3
894,09.04.2012,21,4,18,24,64,0.9,1.5
895,10.04.2012,18,9,32,47,42,0.9,2.6
896,11.04.2012,20,7,34,45,46,0.9,2.5
897,12.04.2012,17,9,38,51,42,0.9,3.0
898,13.04.2012,19,15,38,61,36,1.1,3.9
899,14.04.2012,22,30,34,79,54,1.5,6.2
900,15.04.2012,13,1,10,11,80,0.7,1.3
901,16.04.2012,12,2,12,14,78,0.5,1.3
902,17.04.2012,21,7,30,40,64,0.7,1.9
903,18.04.2012,29,5,29,37,70,0.8,2.2
904,19.04.2012,37,9,44,57,66,1.4,3.8
905,20.04.2012,35,21,54,86,44,1.5,5.3
906,21.04.2012,16,4,29,36,58,0.9,2.7
907,22.04.2012,11,2,16,19,75,0.7,1.6
908,23.04.2012,15,7,32,44,61,0.7,2.4
909,24.04.2012,20,6,33,42,60,0.8,2.5
910,25.04.2012,18,6,32,42,55,0.8,2.5
911,26.04.2012,21,9,42,56,53,0.8,3.2
912,27.04.2012,17,7,35,45,72,0.7,3.0
913,28.04.2012,31,7,41,51,71,1.3,6.1
914,29.04.2012,43,7,37,48,71,1.4,5.9
915,30.04.2012,28,1,12,13,78,0.5,1.6
916,01.05.2012,29,1,11,12,86,0.7,1.7
917,02.05.2012,27,1,15,17,82,0.7,2.1
918,03.05.2012,28,7,34,45,46,0.9,3.2
919,04.05.2012,25,4,27,33,64,0.8,2.6
920,05.05.2012,18,1,13,15,56,0.6,1.6
921,06.05.2012,11,1,13,14,67,0.6,1.5
922,07.05.2012,18,3,31,35,54,0.8,3.0
923,08.05.2012,22,5,30,38,55,0.9,2.9
924,09.05.2012,21,6,36,45,46,0.9,3.2
925,10.05.2012,19,8,31,44,45,0.8,3.3
926,11.05.2012,20,5,35,43,46,0.8,3.8
927,12.05.2012,19,0,7,8,85,0.4,0.9
928,13.05.2012,16,2,16,19,62,0.5,1.6
929,14.05.2012,17,6,33,41,58,0.7,2.9
930,15.05.2012,21,4,27,33,64,0.6,2.0
931,16.05.2012,15,3,18,22,62,0.4,1.3
932,17.05.2012,13,1,16,18,64,0.5,1.4
933,18.05.2012,18,3,30,34,67,0.7,2.1
934,19.05.2012,25,2,24,26,90,0.9,2.1
935,20.05.2012,23,2,19,22,102,0.7,2.1
936,21.05.2012,30,1,23,25,92,0.8,3.0
937,22.05.2012,33,2,21,24,97,0.8,3.4
938,23.05.2012,39,1,14,15,91,0.6,2.1
939,24.05.2012,22,1,9,10,88,0.4,1.3
940,25.05.2012,20,1,11,12,86,0.4,1.4
941,26.05.2012,18,0,10,10,87,0.5,1.4
942,27.05.2012,20,0,8,8,90,0.5,1.3
943,28.05.2012,14,1,15,16,75,0.5,1.6
944,29.05.2012,25,2,19,21,79,0.5,1.7
945,30.05.2012,20,3,19,24,67,0.4,1.6
946,31.05.2012,20,3,23,28,61,0.5,1.7
947,01.06.2012,16,2,13,17,66,0.4,1.5
948,02.06.2012,14,1,11,13,71,0.3,0.9
949,03.06.2012,,,,,,,
950,04.06.2012,,5,26,33,,,
951,05.06.2012,14,3,22,26,51,1.1,2.9
952,06.06.2012,23,9,37,51,42,1.4,4.3
953,07.06.2012,20,9,33,47,44,1.5,3.8
954,08.06.2012,19,6,24,33,58,1.3,2.9
955,09.06.2012,17,3,22,27,67,0.8,2.0
956,10.06.2012,16,3,25,29,65,0.9,2.9
957,11.06.2012,19,7,38,49,65,1.0,4.5
958,12.06.2012,18,3,28,33,69,1.0,2.9
959,13.06.2012,20,3,19,24,59,0.8,2.3
960,14.06.2012,17,3,20,24,61,0.6,1.8
961,15.06.2012,21,5,30,38,64,0.8,3.0
962,16.06.2012,22,3,29,34,47,0.9,3.2
963,17.06.2012,13,4,18,24,64,0.9,2.8
964,18.06.2012,26,6,32,40,73,1.1,4.6
965,19.06.2012,13,2,19,22,85,0.5,2.1
966,20.06.2012,17,1,16,18,55,0.5,2.9
967,21.06.2012,16,1,16,18,47,0.5,2.2
968,22.06.2012,21,5,25,32,55,0.5,2.3
969,23.06.2012,17,2,20,22,63,0.5,1.6
970,24.06.2012,,3,29,33,,,
971,25.06.2012,,6,17,26,,,1.5
972,26.06.2012,13,2,15,18,61,0.4,1.5
973,27.06.2012,24,4,32,38,45,0.6,2.2
974,28.06.2012,19,5,24,32,42,0.7,3.2
975,29.06.2012,29,4,31,38,65,0.7,4.0
976,30.06.2012,38,2,18,21,68,1.9,3.4
977,01.07.2012,24,2,12,15,74,0.4,2.0
978,02.07.2012,17,3,19,23,58,0.5,1.8
979,03.07.2012,20,3,23,27,44,0.7,3.6
980,04.07.2012,23,1,13,14,66,0.5,2.9
981,05.07.2012,28,1,14,16,61,0.6,3.3
982,06.07.2012,24,3,28,33,68,0.5,3.3
983,07.07.2012,20,2,25,28,58,0.6,3.6
984,08.07.2012,18,2,19,21,65,0.5,3.1
985,09.07.2012,15,5,20,27,62,0.4,2.0
986,10.07.2012,19,5,31,38,56,0.6,3.0
987,11.07.2012,19,5,27,35,50,0.6,2.8
988,12.07.2012,13,7,22,32,43,0.6,1.9
989,13.07.2012,14,7,26,37,28,0.7,3.0
990,14.07.2012,12,2,14,17,44,0.4,1.7
991,15.07.2012,10,1,12,14,49,0.4,1.3
992,16.07.2012,15,4,25,31,46,0.5,1.8
993,17.07.2012,11,5,21,28,37,0.4,1.8
994,18.07.2012,18,11,32,49,20,0.6,3.6
995,19.07.2012,16,8,25,37,39,0.5,2.7
996,20.07.2012,17,3,20,24,50,0.4,1.1
997,21.07.2012,14,1,12,14,51,0.4,1.0
998,22.07.2012,14,3,18,23,43,0.4,1.3
999,23.07.2012,18,13,36,56,46,1.0,4.9
1000,24.07.2012,27,3,31,35,75,0.9,4.2
1001,25.07.2012,40,5,38,46,90,0.9,5.9
1002,26.07.2012,48,8,35,47,83,1.3,8.0
1003,27.07.2012,35,1,25,27,115,0.5,2.8
1004,28.07.2012,31,1,19,21,96,0.4,2.6
1005,29.07.2012,20,1,13,14,67,0.4,1.7
1006,30.07.2012,17,6,28,37,54,0.6,2.2
1007,31.07.2012,17,6,33,42,51,0.7,3.0
1008,01.08.2012,20,3,29,34,66,0.7,3.3
1009,02.08.2012,32,2,33,37,77,0.5,3.3
1010,03.08.2012,23,4,30,36,37,0.7,4.2
1011,04.08.2012,22,2,27,30,62,0.6,4.1
1012,05.08.2012,26,1,18,19,48,0.5,3.7
1013,06.08.2012,20,4,23,29,49,0.5,3.0
1014,07.08.2012,17,4,19,25,55,0.4,1.7
1015,08.08.2012,15,4,22,27,50,0.5,1.5
1016,09.08.2012,14,3,19,23,43,0.4,1.3
1017,10.08.2012,12,4,16,23,42,0.4,1.3
1018,11.08.2012,12,0,12,13,53,0.4,1.2
1019,12.08.2012,12,0,14,15,54,0.5,1.6
1020,13.08.2012,16,3,24,28,45,0.8,3.0
1021,14.08.2012,18,4,19,25,49,0.6,2.5
1022,15.08.2012,23,2,20,23,55,0.6,2.5
1023,16.08.2012,26,4,33,39,31,0.5,3.6
1024,17.08.2012,22,4,24,30,44,0.5,4.0
1025,18.08.2012,24,2,31,35,68,0.7,3.7
1026,19.08.2012,27,1,34,35,77,0.7,5.5
1027,20.08.2012,36,7,46,57,76,1.3,8.0
1028,21.08.2012,26,2,18,22,72,0.7,3.6
1029,22.08.2012,20,4,29,35,66,0.7,3.5
1030,23.08.2012,22,15,42,65,45,1.3,6.9
1031,24.08.2012,35,12,44,62,27,1.7,10.1
1032,25.08.2012,26,3,21,25,55,0.8,4.0
1033,26.08.2012,12,2,14,17,56,0.6,2.4
1034,27.08.2012,18,13,29,49,47,2.3,5.0
1035,28.08.2012,21,6,42,51,48,1.5,8.8
1036,29.08.2012,25,9,42,57,52,1.3,6.8
