,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2011-01-30,54,62,144,Schöneberg
2011-01-31,22,46,80,Schöneberg
2011-02-01,10,33,49,Schöneberg
2011-02-02,22,51,84,Schöneberg
2011-02-03,9,40,53,Schöneberg
2011-02-04,3,24,29,Schöneberg
2011-02-05,1,9,10,Schöneberg
2011-02-06,0,10,11,Schöneberg
2011-02-07,5,28,36,Schöneberg
2011-02-08,1,19,20,Schöneberg
2011-02-09,10,39,54,Schöneberg
2011-02-10,16,48,73,Schöneberg
2011-02-11,4,26,33,Schöneberg
2011-02-12,3,22,26,Schöneberg
2011-02-13,2,19,22,Schöneberg
2011-02-14,3,25,29,Schöneberg
2011-02-15,4,26,33,Schöneberg
2011-02-16,6,36,45,Schöneberg
2011-02-17,8,36,48,Schöneberg
2011-02-18,6,30,39,Schöneberg
2011-02-19,4,21,27,Schöneberg
2011-02-20,3,20,24,Schöneberg
2011-02-21,4,27,33,Schöneberg
2011-02-22,6,39,48,Schöneberg
2011-02-23,6,39,49,Schöneberg
2011-02-24,6,41,50,Schöneberg
2011-02-25,5,46,54,Schöneberg
2011-02-26,4,37,42,Schöneberg
2011-02-27,3,36,40,Schöneberg
2011-02-28,15,54,77,Schöneberg
2011-03-01,8,52,65,Schöneberg
2011-03-02,9,54,67,Schöneberg
2011-03-03,7,61,71,Schöneberg
2011-03-04,32,77,126,Schöneberg
2011-03-05,4,34,40,Schöneberg
2011-03-06,3,22,26,Schöneberg
2011-03-07,13,53,72,Schöneberg
2011-03-08,7,48,58,Schöneberg
2011-03-09,6,36,46,Schöneberg
2011-03-10,4,23,29,Schöneberg
2011-03-11,3,24,29,Schöneberg
2011-03-12,6,43,53,Schöneberg
2011-03-13,10,58,73,Schöneberg
2011-03-14,20,74,104,Schöneberg
2011-03-15,6,32,42,Schöneberg
2011-03-16,4,29,35,Schöneberg
2011-03-17,5,38,46,Schöneberg
2011-03-18,3,29,34,Schöneberg
2011-03-19,2,20,23,Schöneberg
2011-03-20,11,37,54,Schöneberg
2011-03-21,39,65,125,Schöneberg
2011-03-22,9,46,61,Schöneberg
2011-03-23,3,29,35,Schöneberg
2011-03-24,2,21,25,Schöneberg
2011-03-25,3,27,31,Schöneberg
2011-03-26,1,16,19,Schöneberg
2011-03-27,4,31,38,Schöneberg
2011-03-28,6,42,51,Schöneberg
2011-03-29,19,39,69,Schöneberg
2011-03-30,78,78,197,Schöneberg
2011-03-31,5,35,43,Schöneberg
2011-04-01,3,18,22,Schöneberg
2011-04-02,5,22,30,Schöneberg
2011-04-03,1,18,20,Schöneberg
2011-04-04,3,21,26,Schöneberg
2011-04-05,4,21,26,Schöneberg
2011-04-06,3,22,27,Schöneberg
2011-04-07,4,20,26,Schöneberg
2011-04-08,1,15,17,Schöneberg
2011-04-09,1,13,15,Schöneberg
2011-04-10,1,18,20,Schöneberg
2011-04-11,5,38,47,Schöneberg
2011-04-12,1,16,19,Schöneberg
2011-04-13,2,19,22,Schöneberg
2011-04-14,3,27,31,Schöneberg
2011-04-15,10,43,58,Schöneberg
2011-04-16,12,44,63,Schöneberg
2011-04-17,7,33,43,Schöneberg
2011-04-18,53,62,144,Schöneberg
2011-04-19,6,39,49,Schöneberg
2011-04-20,4,34,40,Schöneberg
2011-04-21,4,43,49,Schöneberg
2011-04-22,1,22,23,Schöneberg
2011-04-23,1,19,20,Schöneberg
2011-04-24,1,14,15,Schöneberg
2011-04-25,1,18,20,Schöneberg
2011-04-26,4,37,44,Schöneberg
2011-04-27,10,40,55,Schöneberg
2011-04-28,2,32,36,Schöneberg
2011-04-29,3,21,25,Schöneberg
2011-04-30,1,12,14,Schöneberg
2011-05-01,2,9,12,Schöneberg
2011-05-02,3,24,28,Schöneberg
2011-05-03,2,18,21,Schöneberg
2011-05-04,2,29,32,Schöneberg
2011-05-05,8,44,55,Schöneberg
2011-05-06,6,43,52,Schöneberg
2011-05-07,2,25,27,Schöneberg
2011-05-08,1,14,15,Schöneberg
2011-05-09,4,28,35,Schöneberg
2011-05-10,3,39,43,Schöneberg
2011-05-11,3,43,48,Schöneberg
2011-05-12,2,31,35,Schöneberg
2011-05-13,2,21,24,Schöneberg
2011-05-14,4,29,35,Schöneberg
2011-05-15,1,12,13,Schöneberg
2011-05-16,2,18,21,Schöneberg
2011-05-17,3,19,24,Schöneberg
2011-05-18,11,37,54,Schöneberg
2011-05-19,6,48,58,Schöneberg
2011-05-20,4,33,39,Schöneberg
2011-05-21,1,18,19,Schöneberg
2011-05-22,1,14,14,Schöneberg
2011-05-23,2,21,24,Schöneberg
2011-05-24,3,23,27,Schöneberg
2011-05-25,4,27,33,Schöneberg
2011-05-26,3,30,35,Schöneberg
2011-05-27,2,19,21,Schöneberg
2011-05-28,1,13,14,Schöneberg
2011-05-29,2,19,23,Schöneberg
2011-05-30,4,32,38,Schöneberg
2011-05-31,2,20,23,Schöneberg
2011-06-01,1,15,16,Schöneberg
2011-06-02,1,10,11,Schöneberg
2011-06-03,2,16,20,Schöneberg
2011-06-04,2,16,19,Schöneberg
2011-06-05,1,20,22,Schöneberg
2011-06-06,2,25,28,Schöneberg
2011-06-07,3,23,28,Schöneberg
2011-06-08,2,28,31,Schöneberg
2011-06-09,1,14,15,Schöneberg
2011-06-10,2,17,20,Schöneberg
2011-06-11,1,24,26,Schöneberg
2011-06-12,1,13,14,Schöneberg
2011-06-13,1,12,13,Schöneberg
2011-06-14,4,23,28,Schöneberg
2011-06-15,3,33,37,Schöneberg
2011-06-16,2,28,31,Schöneberg
2011-06-17,1,14,15,Schöneberg
2011-06-18,1,15,16,Schöneberg
2011-06-19,1,9,9,Schöneberg
2011-06-20,2,15,18,Schöneberg
2011-06-21,4,23,29,Schöneberg
2011-06-22,5,25,32,Schöneberg
2011-06-23,2,19,22,Schöneberg
2011-06-24,2,16,19,Schöneberg
2011-06-25,1,9,10,Schöneberg
2011-06-26,2,15,17,Schöneberg
2011-06-27,3,21,26,Schöneberg
2011-06-28,2,20,22,Schöneberg
2011-06-29,2,23,26,Schöneberg
2011-06-30,1,19,21,Schöneberg
2011-07-01,2,12,16,Schöneberg
2011-07-02,1,7,9,Schöneberg
2011-07-03,2,14,17,Schöneberg
2011-07-04,5,20,27,Schöneberg
2011-07-05,3,20,24,Schöneberg
2011-07-06,3,22,26,Schöneberg
2011-07-07,2,24,26,Schöneberg
2011-07-08,4,30,36,Schöneberg
2011-07-09,2,26,29,Schöneberg
2011-07-10,1,9,10,Schöneberg
