,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2010-10-07,35,3,20,26,21,Marienfelde
2010-10-08,50,7,25,36,27,Marienfelde
2010-10-09,45,1,15,17,42,Marienfelde
2010-10-10,38,2,23,25,44,Marienfelde
2010-10-11,31,17,29,56,18,Marienfelde
2010-10-12,25,16,23,47,14,Marienfelde
2010-10-13,23,15,25,48,20,Marienfelde
2010-10-14,22,11,21,38,21,Marienfelde
2010-10-15,14,1,15,16,30,Marienfelde
2010-10-16,16,3,16,20,18,Marienfelde
2010-10-17,20,2,17,20,31,Marienfelde
2010-10-18,20,8,22,35,27,Marienfelde
2010-10-19,25,1,17,18,21,Marienfelde
2010-10-20,13,1,14,15,38,Marienfelde
2010-10-21,10,1,13,14,41,Marienfelde
2010-10-22,15,1,16,18,32,Marienfelde
2010-10-23,20,1,13,15,36,Marienfelde
2010-10-24,13,0,6,6,57,Marienfelde
2010-10-25,12,4,20,26,32,Marienfelde
2010-10-26,12,2,19,22,34,Marienfelde
2010-10-27,17,2,19,22,23,Marienfelde
2010-10-28,16,2,23,26,23,Marienfelde
2010-10-29,23,2,23,25,24,Marienfelde
2010-10-30,30,1,17,18,34,Marienfelde
2010-10-31,47,2,24,26,24,Marienfelde
2010-11-01,56,29,37,81,4,Marienfelde
2010-11-02,49,5,21,30,12,Marienfelde
2010-11-03,18,0,13,14,35,Marienfelde
2010-11-04,7,1,11,12,40,Marienfelde
2010-11-05,8,0,11,11,44,Marienfelde
2010-11-06,8,0,10,10,52,Marienfelde
2010-11-07,13,2,18,20,25,Marienfelde
2010-11-08,15,1,15,17,28,Marienfelde
2010-11-09,18,13,30,49,16,Marienfelde
2010-11-10,22,20,24,54,8,Marienfelde
2010-11-11,10,1,13,14,38,Marienfelde
2010-11-12,13,0,9,9,58,Marienfelde
2010-11-13,7,1,8,9,50,Marienfelde
2010-11-14,8,1,5,7,48,Marienfelde
2010-11-15,10,1,19,20,44,Marienfelde
2010-11-16,9,1,18,19,49,Marienfelde
2010-11-17,7,0,19,19,40,Marienfelde
2010-11-18,16,11,22,38,5,Marienfelde
2010-11-19,16,11,25,42,3,Marienfelde
2010-11-20,24,9,23,36,6,Marienfelde
2010-11-21,29,9,19,33,11,Marienfelde
2010-11-22,20,6,23,33,7,Marienfelde
2010-11-23,6,0,10,10,28,Marienfelde
2010-11-24,5,0,10,10,44,Marienfelde
2010-11-25,14,9,32,45,25,Marienfelde
2010-11-26,21,10,38,54,15,Marienfelde
2010-11-27,21,2,21,23,18,Marienfelde
2010-11-28,33,2,19,22,20,Marienfelde
2010-11-29,29,1,18,19,24,Marienfelde
2010-11-30,15,3,21,26,38,Marienfelde
2010-12-01,31,3,16,21,38,Marienfelde
2010-12-02,27,2,25,28,29,Marienfelde
2010-12-03,37,11,46,63,8,Marienfelde
2010-12-04,32,9,38,51,16,Marienfelde
2010-12-05,18,1,14,15,50,Marienfelde
2010-12-06,21,4,29,35,24,Marienfelde
2010-12-07,35,18,38,65,14,Marienfelde
2010-12-08,43,3,34,38,24,Marienfelde
2010-12-09,12,1,15,17,53,Marienfelde
2010-12-10,13,1,24,26,45,Marienfelde
2010-12-11,10,0,10,10,57,Marienfelde
2010-12-12,7,0,11,11,58,Marienfelde
2010-12-13,9,1,16,17,45,Marienfelde
2010-12-14,10,1,25,25,38,Marienfelde
2010-12-15,17,4,30,36,26,Marienfelde
2010-12-16,24,3,23,27,27,Marienfelde
2010-12-17,21,2,25,28,28,Marienfelde
2010-12-18,27,13,38,57,25,Marienfelde
2010-12-19,44,20,48,79,7,Marienfelde
2010-12-20,32,5,31,39,20,Marienfelde
2010-12-21,43,43,51,117,5,Marienfelde
2010-12-22,85,12,46,65,4,Marienfelde
2010-12-23,97,10,37,52,4,Marienfelde
2010-12-24,18,1,19,19,23,Marienfelde
2010-12-25,12,1,11,12,40,Marienfelde
2010-12-26,18,1,11,13,50,Marienfelde
2010-12-27,22,4,26,32,28,Marienfelde
2010-12-28,32,2,24,27,31,Marienfelde
2010-12-29,47,3,31,36,23,Marienfelde
2010-12-30,52,3,35,39,19,Marienfelde
2010-12-31,21,1,25,25,35,Marienfelde
2011-01-01,22,1,8,9,66,Marienfelde
2011-01-02,18,1,11,12,58,Marienfelde
2011-01-03,16,3,27,32,35,Marienfelde
2011-01-04,23,2,31,34,26,Marienfelde
2011-01-05,25,1,24,26,40,Marienfelde
2011-01-06,24,1,19,20,43,Marienfelde
2011-01-07,10,2,25,28,27,Marienfelde
2011-01-08,10,1,16,17,31,Marienfelde
2011-01-09,11,0,12,12,43,Marienfelde
2011-01-10,,2,29,32,29,Marienfelde
2011-01-11,,3,27,33,11,Marienfelde
2011-01-12,,0,14,15,41,Marienfelde
2011-01-13,,7,28,36,10,Marienfelde
2011-01-14,,1,18,20,27,Marienfelde
2011-01-15,,0,9,9,52,Marienfelde
2011-01-16,,0,8,8,49,Marienfelde
2011-01-17,,3,24,28,18,Marienfelde
2011-01-18,,3,28,33,22,Marienfelde
2011-01-19,,1,21,23,41,Marienfelde
2011-01-20,,0,21,22,51,Marienfelde
2011-01-21,,0,18,19,42,Marienfelde
2011-01-22,,0,14,14,37,Marienfelde
2011-01-23,,0,14,15,40,Marienfelde
2011-01-24,,1,18,20,28,Marienfelde
2011-01-25,,0,14,15,47,Marienfelde
2011-01-26,,2,20,23,38,Marienfelde
2011-01-27,,1,19,20,53,Marienfelde
2011-01-28,,3,30,34,23,Marienfelde
2011-01-29,,7,30,40,22,Marienfelde
2011-01-30,,35,43,96,4,Marienfelde
2011-01-31,,3,28,33,21,Marienfelde
2011-02-01,,3,24,29,23,Marienfelde
2011-02-02,,12,41,60,13,Marienfelde
2011-02-03,,1,26,27,21,Marienfelde
2011-02-04,,0,13,14,43,Marienfelde
2011-02-05,,0,5,5,68,Marienfelde
2011-02-06,,0,4,4,68,Marienfelde
2011-02-07,,0,12,12,55,Marienfelde
2011-02-08,,0,9,9,,Marienfelde
2011-02-09,,5,26,33,,Marienfelde
2011-02-10,,2,26,29,,Marienfelde
2011-02-11,,1,20,21,,Marienfelde
2011-02-12,,0,14,14,,Marienfelde
2011-02-13,,0,10,11,,Marienfelde
2011-02-14,,2,16,19,,Marienfelde
2011-02-15,,2,19,22,,Marienfelde
2011-02-16,,4,27,32,,Marienfelde
2011-02-17,,2,25,28,,Marienfelde
2011-02-18,,3,30,35,,Marienfelde
2011-02-19,,1,16,17,52,Marienfelde
2011-02-20,,0,10,10,72,Marienfelde
2011-02-21,,1,16,17,70,Marienfelde
2011-02-22,,2,27,30,60,Marienfelde
2011-02-23,,3,29,34,55,Marienfelde
2011-02-24,,2,26,30,63,Marienfelde
2011-02-25,,2,30,33,65,Marienfelde
2011-02-26,,1,20,22,71,Marienfelde
2011-02-27,,1,22,22,57,Marienfelde
2011-02-28,,5,37,45,39,Marienfelde
2011-03-01,,2,34,38,53,Marienfelde
2011-03-02,,2,34,38,57,Marienfelde
2011-03-03,,2,45,48,61,Marienfelde
2011-03-04,,9,52,66,41,Marienfelde
2011-03-05,,1,26,28,38,Marienfelde
2011-03-06,,1,14,16,62,Marienfelde
2011-03-07,,3,29,34,46,Marienfelde
2011-03-08,,1,21,23,55,Marienfelde
2011-03-09,,1,17,18,62,Marienfelde
2011-03-10,,1,11,12,59,Marienfelde
2011-03-11,,1,13,14,63,Marienfelde
2011-03-12,,1,19,21,47,Marienfelde
2011-03-13,,1,27,28,56,Marienfelde
2011-03-14,,19,51,81,18,Marienfelde
2011-03-15,,3,23,27,47,Marienfelde
2011-03-16,,2,19,21,47,Marienfelde
2011-03-17,,1,26,27,37,Marienfelde
2011-03-18,,1,14,15,44,Marienfelde
2011-03-19,,1,13,14,66,Marienfelde
2011-03-20,,1,16,17,48,Marienfelde
2011-03-21,,5,29,36,43,Marienfelde
2011-03-22,,6,30,39,45,Marienfelde
2011-03-23,,1,16,18,60,Marienfelde
2011-03-24,,1,12,13,65,Marienfelde
2011-03-25,,1,15,17,59,Marienfelde
2011-03-26,,1,9,10,77,Marienfelde
2011-03-27,,0,8,9,69,Marienfelde
2011-03-28,,10,27,42,45,Marienfelde
2011-03-29,,4,22,28,58,Marienfelde
2011-03-30,,12,49,67,39,Marienfelde
2011-03-31,,1,17,18,53,Marienfelde
2011-04-01,,0,11,11,64,Marienfelde
2011-04-02,,1,11,13,42,Marienfelde
2011-04-03,,0,11,11,61,Marienfelde
2011-04-04,,1,12,13,63,Marienfelde
2011-04-05,,2,14,18,61,Marienfelde
2011-04-06,,1,16,18,42,Marienfelde
2011-04-07,,2,14,17,60,Marienfelde
2011-04-08,,0,5,6,86,Marienfelde
2011-04-09,,1,6,7,87,Marienfelde
2011-04-10,,1,16,17,70,Marienfelde
2011-04-11,,11,30,47,50,Marienfelde
2011-04-12,,0,11,12,75,Marienfelde
2011-04-13,,0,8,8,73,Marienfelde
2011-04-14,,1,21,23,45,Marienfelde
2011-04-15,,8,37,50,36,Marienfelde
2011-04-16,,6,21,30,62,Marienfelde
2011-04-17,,1,21,23,60,Marienfelde
2011-04-18,,5,28,35,61,Marienfelde
2011-04-19,,3,29,33,66,Marienfelde
2011-04-20,,2,22,24,82,Marienfelde
2011-04-21,,2,25,27,90,Marienfelde
2011-04-22,,1,14,15,111,Marienfelde
2011-04-23,,0,9,10,115,Marienfelde
2011-04-24,,1,8,9,103,Marienfelde
2011-04-25,,1,14,15,85,Marienfelde
2011-04-26,,2,25,28,58,Marienfelde
2011-04-27,,2,22,25,55,Marienfelde
2011-04-28,,1,18,19,88,Marienfelde
2011-04-29,,1,12,13,102,Marienfelde
2011-04-30,,1,7,7,88,Marienfelde
2011-05-01,,1,6,7,88,Marienfelde
2011-05-02,,1,14,16,66,Marienfelde
2011-05-03,,1,11,12,72,Marienfelde
2011-05-04,,1,18,20,62,Marienfelde
2011-05-05,,7,18,29,67,Marienfelde
2011-05-06,,1,17,19,88,Marienfelde
2011-05-07,,1,18,20,92,Marienfelde
2011-05-08,,0,9,9,79,Marienfelde
2011-05-09,,2,21,24,79,Marienfelde
2011-05-10,,1,19,21,91,Marienfelde
2011-05-11,,1,26,27,88,Marienfelde
2011-05-12,,4,21,28,80,Marienfelde
2011-05-13,,0,10,11,77,Marienfelde
2011-05-14,,1,12,13,76,Marienfelde
2011-05-15,,1,9,10,65,Marienfelde
2011-05-16,,1,13,15,51,Marienfelde
2011-05-17,,1,11,12,47,Marienfelde
2011-05-18,,2,11,15,66,Marienfelde
2011-05-19,,5,27,34,63,Marienfelde
2011-05-20,,1,16,17,66,Marienfelde
2011-05-21,,1,12,13,85,Marienfelde
2011-05-22,,0,6,6,97,Marienfelde
2011-05-23,,1,7,9,81,Marienfelde
2011-05-24,,0,12,12,75,Marienfelde
2011-05-25,,1,15,17,71,Marienfelde
2011-05-26,,1,15,16,95,Marienfelde
2011-05-27,,1,12,13,70,Marienfelde
